DEPTH,GR,RT.OHMM,RXO.OHMM,TVD,TVDSS
15.8496,-999.25,-999.25,-999.25,15.8496,-3.4704
16.002,-999.25,-999.25,-999.25,16.002,-3.318
16.1544,-999.25,-999.25,-999.25,16.1544,-3.1656
16.3068,-999.25,-999.25,-999.25,16.3068,-3.0132
16.4592,-999.25,-999.25,-999.25,16.4592,-2.8608
16.6116,-999.25,-999.25,-999.25,16.6116,-2.7084
16.764,-999.25,-999.25,-999.25,16.764,-2.556
16.9164,-999.25,-999.25,-999.25,16.9164,-2.4036
17.0688,-999.25,-999.25,-999.25,17.0688,-2.2512
17.2212,-999.25,-999.25,-999.25,17.2212,-2.0988
17.3736,-999.25,-999.25,-999.25,17.3736,-1.9464
17.526,-999.25,-999.25,-999.25,17.526,-1.794
17.6784,-999.25,-999.25,-999.25,17.6784,-1.6416
17.8308,-999.25,-999.25,-999.25,17.8308,-1.4892
17.9832,-999.25,-999.25,-999.25,17.9832,-1.3368
18.1356,-999.25,-999.25,-999.25,18.1356,-1.1844
18.288,-999.25,-999.25,-999.25,18.288,-1.032
18.4404,-999.25,-999.25,-999.25,18.4404,-0.8796
18.5928,-999.25,-999.25,-999.25,18.5928,-0.7272
18.7452,-999.25,-999.25,-999.25,18.7452,-0.5748
18.8976,-999.25,-999.25,-999.25,18.8976,-0.4224
19.05,-999.25,-999.25,-999.25,19.05,-0.27
19.2024,-999.25,-999.25,-999.25,19.2024,-0.1176
19.3548,-999.25,-999.25,-999.25,19.3548,0.0348
19.5072,-999.25,-999.25,-999.25,19.5072,0.1872
19.6596,-999.25,-999.25,-999.25,19.6596,0.3396
19.812,-999.25,-999.25,-999.25,19.812,0.492
19.9644,-999.25,-999.25,-999.25,19.9644,0.6444
20.1168,-999.25,-999.25,-999.25,20.1168,0.7968
20.2692,-999.25,-999.25,-999.25,20.2692,0.9492
20.4216,-999.25,-999.25,-999.25,20.4216,1.1016
20.574,-999.25,-999.25,-999.25,20.574,1.254
20.7264,-999.25,-999.25,-999.25,20.7264,1.4064
20.8788,-999.25,-999.25,-999.25,20.8788,1.5588
21.0312,-999.25,-999.25,-999.25,21.0312,1.7112
21.1836,-999.25,-999.25,-999.25,21.1836,1.8636
21.336,-999.25,-999.25,-999.25,21.336,2.016
21.4884,-999.25,-999.25,-999.25,21.4884,2.1684
21.6408,-999.25,-999.25,-999.25,21.6408,2.3208
21.7932,-999.25,-999.25,-999.25,21.7932,2.4732
21.9456,-999.25,-999.25,-999.25,21.9456,2.6256
22.098,-999.25,-999.25,-999.25,22.098,2.778
22.2504,-999.25,-999.25,-999.25,22.2504,2.9304
22.4028,-999.25,-999.25,-999.25,22.4028,3.0828
22.5552,-999.25,-999.25,-999.25,22.5552,3.2352
22.7076,-999.25,-999.25,-999.25,22.7076,3.3876
22.86,-999.25,-999.25,-999.25,22.86,3.54
23.0124,-999.25,-999.25,-999.25,23.0124,3.6924
23.1648,-999.25,-999.25,-999.25,23.1648,3.8448
23.3172,-999.25,-999.25,-999.25,23.3172,3.9972
23.4696,-999.25,-999.25,-999.25,23.4696,4.1496
23.622,-999.25,-999.25,-999.25,23.622,4.302
23.7744,-999.25,-999.25,-999.25,23.7744,4.4544
23.9268,-999.25,-999.25,-999.25,23.9268,4.6068
24.0792,-999.25,-999.25,-999.25,24.0792,4.7592
24.2316,-999.25,-999.25,-999.25,24.2316,4.9116
24.384,-999.25,-999.25,-999.25,24.384,5.064
24.5364,-999.25,-999.25,-999.25,24.5364,5.2164
24.6888,-999.25,-999.25,-999.25,24.6888,5.3688
24.8412,-999.25,-999.25,-999.25,24.8412,5.5212
24.9936,-999.25,-999.25,-999.25,24.9936,5.6736
25.146,-999.25,-999.25,-999.25,25.146,5.826
25.2984,-999.25,-999.25,-999.25,25.2984,5.9784
25.4508,-999.25,-999.25,-999.25,25.4508,6.1308
25.6032,-999.25,-999.25,-999.25,25.6032,6.2832
25.7556,-999.25,-999.25,-999.25,25.7556,6.4356
25.908,-999.25,-999.25,-999.25,25.908,6.588
26.0604,-999.25,-999.25,-999.25,26.0604,6.7404
26.2128,-999.25,-999.25,-999.25,26.2128,6.8928
26.3652,-999.25,-999.25,-999.25,26.3652,7.0452
26.5176,-999.25,-999.25,-999.25,26.5176,7.1976
26.67,-999.25,-999.25,-999.25,26.67,7.35
26.8224,-999.25,-999.25,-999.25,26.8224,7.5024
26.9748,-999.25,-999.25,-999.25,26.9748,7.6548
27.1272,-999.25,-999.25,-999.25,27.1272,7.8072
27.2796,-999.25,-999.25,-999.25,27.2796,7.9596
27.432,-999.25,-999.25,-999.25,27.432,8.112
27.5844,-999.25,-999.25,-999.25,27.5844,8.2644
27.7368,-999.25,-999.25,-999.25,27.7368,8.4168
27.8892,-999.25,-999.25,-999.25,27.8892,8.5692
28.0416,-999.25,-999.25,-999.25,28.0416,8.7216
28.194,-999.25,-999.25,-999.25,28.194,8.874
28.3464,-999.25,-999.25,-999.25,28.3464,9.0264
28.4988,-999.25,-999.25,-999.25,28.4988,9.1788
28.6512,-999.25,-999.25,-999.25,28.6512,9.3312
28.8036,-999.25,-999.25,-999.25,28.8036,9.4836
28.956,-999.25,-999.25,-999.25,28.956,9.636
29.1084,-999.25,-999.25,-999.25,29.1084,9.7884
29.2608,-999.25,-999.25,-999.25,29.2608,9.9408
29.4132,-999.25,-999.25,-999.25,29.4132,10.0932
29.5656,-999.25,-999.25,-999.25,29.5656,10.2456
29.718,-999.25,-999.25,-999.25,29.718,10.398
29.8704,-999.25,-999.25,-999.25,29.8704,10.5504
30.0228,-999.25,-999.25,-999.25,30.0228,10.7028
30.1752,-999.25,-999.25,-999.25,30.1752,10.8552
30.3276,-999.25,-999.25,-999.25,30.3276,11.0076
30.48,-999.25,-999.25,-999.25,30.48,11.16
30.6324,-999.25,-999.25,-999.25,30.6324,11.3124
30.7848,-999.25,-999.25,-999.25,30.7848,11.4648
30.9372,-999.25,-999.25,-999.25,30.9372,11.6172
31.0896,-999.25,-999.25,-999.25,31.0896,11.7696
31.242,-999.25,-999.25,-999.25,31.242,11.922
31.3944,-999.25,-999.25,-999.25,31.3944,12.0744
31.5468,-999.25,-999.25,-999.25,31.5468,12.2268
31.6992,-999.25,-999.25,-999.25,31.6992,12.3792
31.8516,-999.25,-999.25,-999.25,31.8516,12.5316
32.004,-999.25,-999.25,-999.25,32.004,12.684
32.1564,-999.25,-999.25,-999.25,32.1564,12.8364
32.3088,-999.25,-999.25,-999.25,32.3088,12.9888
32.4612,-999.25,-999.25,-999.25,32.4612,13.1412
32.6136,-999.25,-999.25,-999.25,32.6136,13.2936
32.766,-999.25,-999.25,-999.25,32.766,13.446
32.9184,-999.25,-999.25,-999.25,32.9184,13.5984
